87
754	755	26
992	993	9
503	504	34
478	705	4
117	118	9
154	522	3
838	839	32
144	145	9
444	445	3
696	697	37
167	50	16
333	334	9
0	389	8
169	170	31
154	42	6
694	927	15
1005	1006	1
389	0	3
137	146	1
63	75	3
715	484	47
178	968	1
551	623	11
90	897	9
77	776	3
485	910	26
324	325	42
101	29	25
328	91	3
760	960	29
31	625	11
474	475	11
401	402	13
492	965	9
11	433	56
635	157	3
125	126	21
77	227	37
26	187	34
31	159	25
379	0	3
39	310	43
525	526	11
329	330	9
772	775	11
365	11	35
442	443	29
248	109	9
476	348	11
471	1002	9
11	39	15
661	662	26
137	138	13
37	607	9
26	210	60
808	713	10
225	226	30
115	721	21
388	389	3
510	511	10
31	688	25
855	856	3
418	419	18
519	520	3
277	278	32
11	77	49
363	364	3
128	129	1
132	749	25
119	120	11
331	808	19
26	510	29
408	890	11
511	510	9
904	23	8
652	0	3
91	0	9
170	771	3
11	136	15
911	912	1
540	553	11
267	268	7
31	796	11
11	613	56
652	653	8
137	431	11
422	807	20
